,name,class01,class02,city,county,askContent,askLen,askTime,ansOrNot,ansDpt,ansContent,ansLen,ansTime,ansDpt2,ansContent2,ansLen2,ansTime2,scUrl,askCon_cutted,ansCon_cutted,tfidf_askCon_key_word,tfidf_ansCon_key_word
0,九价,医疗,咨询,成都,龙泉驿区,我于2022年2月22号上午08:12:01在约苗上订阅成都市龙泉驿区洪安镇公立卫生院的九价，因为本人马上到限制年龄了，请问我前面还有多少人在排队，大概多久能安排上九价。,85,2022-03-09 00:16,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2944338,我于 2022 年 2 月 22 号 上午 08 : 12 : 01 在 约 苗上 订阅 成都市 龙泉驿区 洪安镇 公立 卫生院 的 九价 ， 因为 本人 马上 到 限制 年龄 了 ， 请问 我 前面 还有 多少 人 在 排队 ， 大概 多久 能 安排 上九价 。,,"['龙泉驿区', '我于', '2022']",
1,咨询九价排名,医疗,咨询,成都,温江区,您好，2021年8月订阅的温江区天府街道社区卫生服务中心的九价疫苗，想咨询一下现在排在第几位，谢谢,49,2022-03-09 00:32,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2944339,您好 ， 2021 年 8 月 订阅 的 温江区 天府 街道社区 卫生 服务中心 的 九价 疫苗 ， 想 咨询 一下 现在 排在 第 几位 ， 谢谢,,"['温江区', '街道社区', '2021']",
2,双流区花样年别样城小区停车难，物业没有作为,其他,求助,成都,双流区,目前花样年别样城小区停车难，业主都没有停车位，一直存在的问题了，业主车子都只能停在路边，危险又不安全，物业这边也没有解决办法，那作为业主都无法停车回去，起码一户一车位要保证吧，小区绿化面积比较大，建议对小区绿化进行改造，腾出车位，满足业主基本需求，请相关住建部的领导关注下我们小区，而且作为业主的车停进去也是1块钱一小时，还上不封顶，一晚上就要几十块，物业根本没管这块,184,2022-03-09 00:50,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2944342,目前 花样 年 别样 城 小区 停车难 ， 业主 都 没有 停车位 ， 一直 存在 的 问题 了 ， 业主 车子 都 只能 停 在 路边 ， 危险 又 不 安全 ， 物业 这边 也 没有 解决办法 ， 那 作为 业主 都 无法 停车 回去 ， 起码 一户 一 车位 要 保证 吧 ， 小区 绿化 面积 比较 大 ， 建议 对 小区 绿化 进行 改造 ， 腾出 车位 ， 满足 业主 基本 需求 ， 请 相关 住 建部 的 领导 关注 下 我们 小区 ， 而且 作为 业主 的 车 停进去 也 是 1 块钱 一 小时 ， 还 上 不 封顶 ， 一 晚上 就要 几十块 ， 物业 根本 没管 这块,,"['业主', '小区', '车位']",
3,成都九价摇号,医疗,咨询,成都,彭州市,彭州的疫苗能限地区嘛或者摇号彭州本地人都抢不到而且现在换知苗易约平台根本抢不到了都是黄牛承包了老百姓们抢不到苗有的医院还给人走后门打希望严查！！,72,2022-03-09 01:22,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2944345,彭州 的 疫苗 能限 地区 嘛 或者 摇号 彭州 本地人 都 抢 不到 而且 现在 换 知苗易 约 平台 根本 抢 不到 了 都 是 黄牛 承包 了 老百姓 们 抢 不到 苗有 的 医院 还给 人 走后门 打 希望 严查 ！ ！,,"['彭州', '不到', '能限']",
4,老板不给农民工工资,城建,求助,成都,龙泉驿区,本人于2020年在东安湖木棉花酒店会议厅给巴中市顶山镇人罗双做玻璃幕墙，至今5000元工资未付，多次崔讨，都已未结算不给。望政府领导帮助解决。特此感谢！！！,78,2022-03-09 06:30,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2944351,本人 于 2020 年 在 东安 湖 木棉花 酒店 会议厅 给 巴中市 顶 山镇 人罗双 做 玻璃幕墙 ， 至今 5000 元 工资 未付 ， 多次 崔讨 ， 都 已 未结算 不 给 。 望 政府 领导 帮助 解决 。 特此 感谢 ！ ！ ！,,"['木棉花', '未付', '2020']",
5,兴义镇安置房,拆迁,咨询,成都,新津区,兴义的安置房在之前的留言中看到马上就要到分房的时候了，请问好久开始分房呢，还有哪些优购政策呢,46,2022-03-09 06:39,1,新津区网信办,您的留言已转交给相关机构进行处理，请您耐心等待回复。,26,2022-03-09 10:50,,,,,https://ly.scol.com.cn//thread?tid=2944353,兴义 的 安置 房在 之前 的 留言 中 看到 马上 就要 到 分房 的 时候 了 ， 请问 好久 开始 分房 呢 ， 还有 哪些 优购 政策 呢,您 的 留言 已转 交给 相关 机构 进行 处理 ， 请 您 耐心 等待 回复 。,"['分房', '房在', '优购']","['已转', '留言', '耐心']"
6,双流三江公园为什么那么多年了都不修？,城建,投诉,成都,双流区,双流三江公园十年前就打围了，到现在了都没设计出来,24,2022-03-09 06:39,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2944352,双流 三江 公园 十年 前 就 打围 了 ， 到 现在 了 都 没 设计 出来,,"['打围', '双流', '三江']",
7,电桩倾斜威胁路人生命安全,城建,投诉,成都,高新区,希望修下中和街道仁和社区门口的电桩谢谢！电线裸露，电桩倾斜，下雨天影响路人生命安全，漏电或者砸下来真的很可怕！希望处理下，谢谢！,64,2022-03-09 07:16,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2944354,希望 修下 中 和 街道 仁和 社区 门口 的 电桩 谢谢 ！ 电线 裸露 ， 电桩 倾斜 ， 下雨天 影响 路 人 生命安全 ， 漏电 或者 砸 下来 真的 很 可怕 ！ 希望 处理 下 ， 谢谢 ！,,"['电桩', '谢谢', '修下']",
8,噪音污染,环保,求助,成都,双流区,学府西路南四街43号楼顶养公鸡，公鸡每天早上打鸣很早声，声音也很大很刺耳，影响周围住户休息,45,2022-03-09 07:18,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2944355,学府 西路南 四街 43 号 楼顶 养 公鸡 ， 公鸡 每天 早上 打鸣 很早 声 ， 声音 也 很大 很 刺耳 ， 影响 周围 住户 休息,,"['公鸡', '打鸣', '西路南']",
9,失地农民购买社保问题,其他,投诉,成都,市委书记施小琳,大概在3年前(2018底)村上(彭州市九尺镇昌衡村)因为修足球场占用了十几户村民的农田，并表示答应在2021底给被占用农田的农民购买社保，现在时间到了村书记表示社保没有指标无法办理，如果不能办理为什么那么肯定的给出答复可以购买社保，农田是村民的主要收入来源现在农田被征用主要收入来源没有了找到村书记，村书记就各种推诿踢皮球，政府部门应该是说到做到，到时间就应该履行承诺。不是各种理由搪塞，长期这样就会失信于民，就一个诉求解决失地农民购买社保的问题。谢谢。,227,2022-03-09 07:52,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2944357,大概 在 3 年前 ( 2018 底 ) 村上 ( 彭州市 九尺 镇昌衡 村 ) 因为 修 足球场 占用 了 十几户 村民 的 农田 ， 并 表示 答应 在 2021 底 给 被 占用 农田 的 农民 购买 社保 ， 现在 时间 到 了 村 书记 表示 社保 没有 指标 无法 办理 ， 如果 不能 办理 为什么 那么 肯定 的 给出 答复 可以 购买 社保 ， 农田 是 村民 的 主要 收入 来源 现在 农田 被 征用 主要 收入 来源 没有 了 找到 村 书记 ， 村 书记 就 各种 推诿 踢皮球 ， 政府部门 应该 是 说到做到 ， 到 时间 就 应该 履行 承诺 。 不是 各种 理由 搪塞 ， 长期 这样 就 会 失信于民 ， 就 一个 诉求 解决 失地农民 购买 社保 的 问题 。 谢谢 。,,"['农田', '社保', '书记']",
